condition,id,vis,vgs,ovr
Completeness Only,B07HK85JKQ,0.7059,0.5623,0.6341
Completeness Only,B07JLSNZ1K,0.468,0.7976,0.6328
Completeness Only,B07JLZC571,0.5846,1,0.7923
Completeness Only,B07HZ7634C,0.0,0.8615,0.43075
Completeness Only,B00LRK8HJ8,0.0,0.5195,0.25975
Completeness Only,B0857LB5GX,0.0,0.7105,0.35525
Completeness Only,B0856BPTY5,0.0,0.5514,0.2757
Completeness Only,B07NVLWGQ6,0.0,0.9838,0.4919
Completeness Only,B083M2Y9V3,0.0,0.7345,0.36725
Completeness Only,B07F8CL9PC,0.0,1,0.5
Completeness Only,B07TTD7KDM,0.0,0.8296,0.4148
Completeness Only,B08GL2N8B2,0.0,0.8766,0.4383
Completeness Only,B08GL2N8FK,0.0,1,0.5
Completeness Only,B07XDSBBM7,0.0,0.5879,0.29395
Completeness Only,B0731G364H,0.0,1,0.5
Completeness Only,B07V6M4MSN,0.1733,0.6298,0.40155
Completeness Only,B007M6GP9U,0.0,1,0.5
Completeness Only,B07QC76DTB,0.0,1,0.5
Completeness Only,B003S9W4ZY,0.0,0.792,0.396
Completeness Only,B07GNNPB3M,0.0,0.9863,0.49315
Completeness Only,B07HCMJ6G7,0.0,0.699,0.3495
Completeness Only,B07HCRTHX1,0.0,0.7262,0.3631
Texture Only,B07J2R9Y7F,0.684,0.7016,0.6928000000000001
Texture Only,B0853L358V,0.0,0.4866,0.2433
Texture Only,B07BWJCZJX,0.0934,0.7432,0.4183
Texture Only,B07S7DDWJ6,0.0,0.9276,0.4638
Texture Only,B07HSG8DPR,0.0,0.7296,0.3648
Texture Only,B07B7J5BC2,0.0,0.8366,0.4183
Texture Only,B07NXTJV7L,0.0,0.8224,0.4112
Texture Only,B07Q5ZXC59,0.0,0.7591,0.37955
Texture Only,B07HSDXLTW,0.0,0.6832,0.3416
Texture Only,B07Y9WZK4F,0.0,0.8621,0.43105
Texture Only,B07JM6HFW3,0.5866,0.5857,0.58615
Texture Only,B07TG4YCCZ,0.0,1,0.5
Texture Only,B07XBRRJ3H,0.0,0.424,0.212
Texture Only,B081TGCNF3,0.0,0.6997,0.34985
Texture Only,B07M9YRFKW,0.0,0.9437,0.47185
Texture Only,B07WP76J5R,4.2804,0.2818,2.2811
Texture Only,B07PGQYRYY,0.0,0.6873,0.34365
Texture Only,B07W1WTR11,0.0,0.6985,0.34925
Texture Only,B07MBFDJQ3,1.6873,0.8979,1.2926
Texture Only,B073P3562J,0.8557,0.9665,0.9111
Texture Only,B07HK3PNSK,0.7741,0.7241,0.7491
Texture Only,B07WNNYYDJ,0.0,0.4738,0.2369
Texture Only,B07WRL3WYP,0.0,1,0.5
Texture Only,B07WRJFP49,0.0,0.551,0.2755
Texture Only,B07P9P8LZ6,0.0,0.6794,0.3397
Texture Only,B07Q3WM678,0.0,0.6956,0.3478
Texture Only,B07B7B6PL8,0.0,0.7986,0.3993
Texture Only,B07DGQYHYY,0.0,0.7264,0.3632
Texture Only,B072WW22SH,0.0,0.5105,0.25525
Texture Only,B07GL8GHLH,0.0,1,0.5
Texture Only,B07VG9FWNM,0.0,0.934,0.467
Texture Only,B07M6PKCM3,0.0,0.9125,0.45625
Texture Only,B01MEEBCHA,0.0,0.7376,0.3688
Texture Only,B082Q98JRB,0.0,0.6175,0.30875
Texture Only,B07XYNVF6L,0.7316,0.2104,0.47100000000000003
Texture Only,B07Q5ZXC59,0.0,0.6845,0.34225
Texture Only,B071FS1QRJ,0.0,0.8909,0.44545
Texture Only,B07B4YZWKD,0.0,0.7939,0.39695
Texture Only,B07HK85JKQ,0.0806,0.9488,0.5146999999999999
Texture Only,B07JLSNZ1K,0.0,0.9415,0.47075
Texture Only,B07JLZC571,0.5467,0.9898,0.76825
Texture Only,B07HZ7634C,0.0,0.8469,0.42345
Texture Only,B00LRK8HJ8,0.0,0.3875,0.19375
Texture Only,B0857LB5GX,0.0,0.9076,0.4538
Texture Only,B0856BPTY5,0.0,0.2825,0.14125
Texture Only,B07NVLWGQ6,0.0,0.8606,0.4303
Texture Only,B083M2Y9V3,0.0,0.698,0.349
Texture Only,B07F8CL9PC,0.0,1,0.5
Texture Only,B07TTD7KDM,0.0,0.9415,0.47075
Texture Only,B08GL2N8B2,0.0,0.651,0.3255
Texture Only,B08GL2N8FK,0.0,1,0.5
Texture Only,B07XDSBBM7,0.0,0.5441,0.27205
Texture Only,B0731G364H,0.0,0.8925,0.44625
Texture Only,B07V6M4MSN,0.0,0.6965,0.34825
Texture Only,B007M6GP9U,0.0,0.9583,0.47915
Texture Only,B07QC76DTB,0.0,0.8561,0.42805
Texture Only,B003S9W4ZY,0.0,0.8011,0.40055
Texture Only,B07GNNPB3M,0.0,0.9868,0.4934
Texture Only,B07HCMJ6G7,1.3657,0.1212,0.7434499999999999
Texture Only,B07HCRTHX1,0.0,0.7088,0.3544
Pattern Only,B07J2R9Y7F,0.0,0.6275,0.31375
Pattern Only,B0853L358V,0.0,0.6819,0.34095
Pattern Only,B07BWJCZJX,0.0,0.7948,0.3974
Pattern Only,B07S7DDWJ6,0.0,1,0.5
Pattern Only,B07HSG8DPR,0.0,0.9217,0.46085
Pattern Only,B07B7J5BC2,0.0,0.9029,0.45145
Pattern Only,B07NXTJV7L,0.6829,0.8025,0.7426999999999999
Pattern Only,B07Q5ZXC59,0.0,0.4231,0.21155
Pattern Only,B07HSDXLTW,0.0,0.4454,0.2227
Pattern Only,B07Y9WZK4F,0.0,0.7971,0.39855
Pattern Only,B07JM6HFW3,3.9754,0.5729,2.27415
Pattern Only,B07TG4YCCZ,0.0,0.7968,0.3984
Pattern Only,B07XBRRJ3H,1.1854,0.5374,0.8613999999999999
Pattern Only,B081TGCNF3,0.0,1,0.5
Pattern Only,B07M9YRFKW,0.0,0.9116,0.4558
Pattern Only,B07WP76J5R,0.0,0.1279,0.06395
Pattern Only,B07PGQYRYY,0.0,0.7225,0.36125
Pattern Only,B07W1WTR11,0.0,0.7037,0.35185
Pattern Only,B07MBFDJQ3,0.6556,1,0.8278
Pattern Only,B073P3562J,0.0,0.8857,0.44285
Pattern Only,B07HK3PNSK,0.0,0.8522,0.4261
Pattern Only,B07WNNYYDJ,0.0,0.557,0.2785
Pattern Only,B07WRL3WYP,1.9029,1,1.45145
Pattern Only,B07WRJFP49,0.0,0.5751,0.28755
Pattern Only,B07P9P8LZ6,0.0,0.6856,0.3428
Pattern Only,B07Q3WM678,0.1437,0.5931,0.36839999999999995
Pattern Only,B07B7B6PL8,0.0,0.8941,0.44705
